X,Y,Name,Descriçã,Endereço,Contato,icon_url
-49.7745844839999,-25.527593532,Pousada Cristal do Horizonte,Pousadas e Hotéis,"Rua Altair Probst, 183 estrada municipal do tamandua, km 14 - Santa Felicidade, PR, 82015-680","+554133727287",./0.png
-49.7322061459999,-25.533824151,Capela Nossa Senhora da Conceição do Tamanduá,Pontos turísticos,"Estr. Tamanduá, Balsa Nova - PR, 83650-000",,./0.png
-49.7248068469999,-25.4702495079999,Polícia Rodoviária Federal,Outros,"BR-277, S\/N, Balsa Nova - PR, 83670-000",,./0.png
-49.7137149379999,-25.4732045279999,Supermercado AVENIDA,Outros,"1582, R. Ver. Dinart Garret Almeida, Balsa Nova - PR, 83650-000",,./0.png
-49.7132177459999,-25.4731911389999,Instituto Purunã Sede,Pontos turísticos,"Rua Vereador Dinarte, R. Francisco Xavier de Almeida Garret, 2702 - Centro, Balsa Nova - PR, 83670-970","+554130188394",./0.png
-49.7041327309999,-25.4735355519999,Portal São Luiz do Purunã,Pontos turísticos,"R. Ver. Dinart Garret Almeida, Balsa Nova - PR, 83650-000",,./0.png
-49.7176013819999,-25.4706471989999,CTG São Luiz do Purunã,Pontos turísticos,"R. Ver. Dinart Garret Almeida, Balsa Nova - PR, 83650-000",,./0.png
-49.7232749939999,-25.4514105019999,Restaurante Panela Velha e Pousada Parque Luiz do Purunã,Restaurantes e Bistrôs,"Rodovia do Café, BR-376, km 553,50 – 46 km do Parque Barigui","+5541991662195",./0.png
-49.7307045279999,-25.4190873489999,Hotel Fazenda e Restaurante Cainã,Pousadas e Hotéis,"Estrada da Lage, km 51, São Luiz do Purunã – Balsa Nova\/PR",(41) 3113-4400,./0.png
-49.7362205959999,-25.4192703269999,Bistrô Sabor e Tradição,Restaurantes e Bistrôs,"Estrada da Lage, 4.250",(41) 9 9697-2488,./0.png
-49.767915412,-25.4652473359999,Recanto dos Papagaios,Pontos turísticos,"Rodovia Br277, Palmeira, Paraná 83650-000",,./0.png
-49.8069396609999,-25.552401925,Ponte dos Arcos,Pontos turísticos,"Balsa Nova - PR, 83650-000",,./0.png
-49.800336971,-25.5577564399999,Recanto dos arcos / Cachoeira do alemão,Pousadas e Hotéis,"Estrada do Tamanduá, km 18 (ao lado da Ponte dos Arcos)",(42) 9 9127-9198,./0.png
-49.731440853,-25.4190305029999,Rancho CTML,Restaurantes e Bistrôs,"Estrada da Lage, s\/n°",(41) 9 98274565,./0.png
-49.7300765429999,-25.4220886369999,Rancho Ventania,Restaurantes e Bistrôs,"Estrada da Lage, km 6,5",(41) 9 9994-1113,./0.png
-49.7283275729999,-25.422001278,Restaurante Candieiro,Restaurantes e Bistrôs,"Estrada da Lage, km 6,5",(41) 9610-6508,./0.png
-49.7284689299999,-25.422742893,Rancho P&R ( Rancho PeR ),Pousadas e Hotéis,"Estrada da Lage, s\/nº",(41) 9 9977- 4468,./0.png
-49.7156928189999,-25.449926805,Campo das Artes,Pontos turísticos,"Estr. da Lage, Balsa Nova - PR, 83650-000",,./0.png
-49.7139256849999,-25.452448514,Cabanha Esperança,Restaurantes e Bistrôs,"Rua Vereador João Bertoja Filho, 275","+5541995441114",./0.png
-49.7109858699999,-25.4427435439999,Chácara Kiwi da Serra,Restaurantes e Bistrôs,"R. Ver. João Bertoja Filho, 4351, Balsa Nova – PR, 83650-000","+5541995448432",./0.png
-49.6928484719999,-25.443594482,Pousada e Restaurante Varshana,Pousadas e Hotéis,"Estrada do Cerro, km 5",(41) 9 9191-7590,./0.png
-49.7018522829999,-25.472856274,Posto Purunã,Outros,"Praça de Pedágio São Luiz do Purunã, Balsa Nova - PR, 83650-000",,./0.png
-49.6621991099999,-25.471606239,Praça de Pedágio,Outros,"Praça de Pedágio São Luiz do Purunã, Balsa Nova - PR, 83650-000",,./0.png
